Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Felix Amadi,12-02-2025,5 out of 5,Satisfied She confirmed it’s a really good phone
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Akande,06-01-2025,4 out of 5,"Good Is is absolutely amazing

It is absolutely amazing"
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Oluwatobi,30-12-2024,5 out of 5,"Superb Good product, worth the price."
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Philip,27-12-2024,5 out of 5,Phone Nice product worth every penny
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Abdullahi,23-12-2024,5 out of 5,Phone Very good
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Aisosa,18-12-2024,5 out of 5,amazing Brilliant
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Ekene,17-12-2024,5 out of 5,"Awesome product Strong battery, nice appearance, no lags, worth the price"
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Joy Adebiyi,11-12-2024,5 out of 5,It’s okay Works just about fine for now
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Busayo,09-12-2024,5 out of 5,Good and affordablephone Sleek design
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Dennis,28-11-2024,5 out of 5,I love it GREAT phone .
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Adenike,28-11-2024,5 out of 5,Good It's a good product. It works perfectly.
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Eugene,04-11-2024,5 out of 5,sleek Sleek design. I got 2 cause why not
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Kristyna,04-11-2024,5 out of 5,good phone It works well so far
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Tolu,28-10-2024,5 out of 5,I love it Good buy
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Oluwatosin,24-10-2024,5 out of 5,Good product Recommend!
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Oluwatosin,24-10-2024,5 out of 5,Good product Recommend!
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Habeeb Ola,14-10-2024,5 out of 5,Great Good phone
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,OSIFO,07-10-2024,5 out of 5,I love it So unique
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Oluranti,03-10-2024,5 out of 5,I like it Excelent
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,ABAYOMI,19-09-2024,5 out of 5,Samsung galaxy 13 Silver Samsung galaxy A05 is so magnificent and smart
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,ghxxt007,17-09-2024,5 out of 5,Samsung Very smooth interface
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Janet,12-09-2024,4 out of 5,phone Good product
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,John,05-09-2024,4 out of 5,"Budget phone It's a budget friendly phone, it doesn't have screen record, fingerprint,  and a charger. 
But it's totally awesome, I Love it."
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Balogun,02-09-2024,5 out of 5,I love it These product is just too good
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Akemu Royale,02-09-2024,5 out of 5,Nice buy Amazing phone
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Samuel,27-08-2024,5 out of 5,good Good
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Daniel,26-08-2024,5 out of 5,Sharp! It’s sharp!! And my granny loves it
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Henritte,26-08-2024,3 out of 5,no head charger and fingerprint The follow come cord is very slowly. No head charger and fingerprint. But other things are good
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Odoh Paul,25-08-2024,5 out of 5,Good Looks good and it’s working fine i hope it continues that way
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Jide,16-08-2024,5 out of 5,nice Cool to use and makes sense
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Silver",127126,"6.7 inches IPS LCD displayQualcomm Snapdragon 662 chipset4GB of RAM 64GB of internal storage48MP + 8MP + 2MP triple rear camera8MP front-facing camera5,000 mAh non-removable battery15W fast charging support4G LTE network support",SKU: SA948MP6E0Y11NAFAMZProduct Line: EBN AUF GENERAL TRADING L.L.C - ACModel: Galaxy A05Weight (kg): 195Color: SilverShop Type: Jumia Mall,Olushola,14-08-2024,5 out of 5,Good Good phone
